"Index","Seed","Distance","Rearranged","Run"
1,231333,570.5,147.4,1
4,586901,518.1,197.4,1
22,935807,503.5,177.9,1
26,412118,583.8,126.2,1
50,361179,497.2,176.4,1
73,718992,455.7,190.1,1
102,486755,491.7,120.3,1
119,381565,493,120,1
164,665683,468.7,118.6,1
252,702475,591.2,111.7,1
415,603672,433.7,100.7,1
564,509604,432.9,182.3,1
881,198334,406.9,211.2,1
1628,404377,403.2,268.7,1
1639,781318,366.3,141.5,1
2340,738364,363.8,188.6,1
5239,535776,355.2,265.6,1
7795,872782,471,89.3,1
8411,714303,412.4,87.7,1
9212,807586,515.1,83.6,1
34995,793304,350.9,189.6,1
35268,191088,346.4,144.4,1
1,641173,559.1,260.5,2
2,142807,510,265.8,2
3,786703,553.1,194.4,2
4,230459,529.9,145,2
20,991635,446.8,253.3,2
22,891469,557.2,131.3,2
28,830990,469.7,129.6,2
55,882583,689.2,121.6,2
74,496997,521.5,107.1,2
918,383144,440.7,167.1,2
1131,858221,432,194.4,2
1397,740158,616.6,100.5,2
1480,789858,329.9,272.1,2
1678,693375,561.1,98.3,2
6748,629465,520.4,86,2
20978,456614,488.1,62.7,2
1,11001,669.3,282.4,3
2,11002,571.8,287.7,3
3,11003,638.9,209.5,3
8,11008,627.6,152,3
10,11010,493.8,209.9,3
30,11030,489.6,251.2,3
37,11037,494.5,143.2,3
38,11038,537,142.8,3
98,11098,480,168.9,3
116,11116,722.1,139.8,3
157,11157,608.1,139.5,3
162,11162,583.1,118.9,3
175,11175,465.2,230.8,3
188,11188,505.3,109.4,3
227,11227,430.7,187,3
379,11379,584.9,93.3,3
1856,12856,411.8,158,3
2870,13870,409.2,169.6,3
2876,13876,401,162.7,3
4659,15659,374.8,241.1,3
27049,38049,519.7,89.2,3
35743,46743,341.1,141.6,3
38215,49215,545.1,87.6,3
38437,49437,493.9,87.2,3
86402,97402,533.2,64.1,3
1,451638,605.128172376248,224.187189540148,4
3,151978,561.638727190516,222.523802240002,4
4,266539,545.274041415085,177.015500431474,4
7,103888,610.380084739764,165.102844559757,4
11,908989,600.719894808418,146.319194781842,4
20,525333,586.01734250202,125.113733290028,4
22,826969,535.437544279743,185.908288527768,4
34,679884,480.663989011429,218.818692332703,4
121,162790,430.527833119726,138.991708705073,4
475,935705,565.104635820746,124.330411598261,4
676,942093,595.298824564998,119.231389868326,4
704,823701,526.162269580042,111.026508926303,4
716,858222,423.446948803322,265.688408592133,4
833,904921,504.749124090275,109.878798783083,4
1627,685404,574.237088329242,97.2081358394049,4
1809,785974,382.505258160257,130.244288999759,4
3497,935065,527.374961029634,90.23483433739,4
6217,778593,380.869485158723,206.789173025631,4
15205,212353,377.738376888312,153.360919115568,4
19071,627261,526.286619582843,87.1298896779673,4
45802,129782,367.527920741107,169.759219525631,4
51827,150622,357.134966348597,187.690851785494,4
